Wall time,Step,Value
1731869072.190349,130,-10.730252265930176
1731869072.7731156,131,-10.661371231079102
1731869076.406494,132,-10.824090957641602
1731869076.883255,133,-10.914942741394043
1731869081.5206344,134,-11.016812324523926
1731869081.9554937,135,-11.098833084106445
1731869084.6964278,136,-11.188888549804688
1731869085.1299932,137,-11.181532859802246
1731869087.6702154,138,-11.254743576049805
1731869088.2268484,139,-11.374881744384766
1731869088.6573105,140,-11.4644193649292
1731869089.1245522,141,-11.347481727600098
1731869089.6630583,142,-11.505576133728027
1731869090.1508253,143,-11.634133338928223
1731869090.6629865,144,-11.5359525680542
1731869091.1081665,145,-11.608429908752441
1731869091.6192586,146,-11.86196517944336
1731869092.044346,147,-11.996526718139648
1731869092.4543567,148,-11.896763801574707
1731869092.9360511,149,-12.023028373718262
1731869093.348736,150,-12.123411178588867
1731869093.835289,151,-12.241999626159668
1731869094.3258317,152,-12.166208267211914
1731869094.7607005,153,-12.24160099029541
1731869095.1770089,154,-12.364461898803711
1731869095.5869865,155,-12.609006881713867
1731869096.074102,156,-12.45058822631836
1731869096.4840825,157,-12.449088096618652
1731869096.9058654,158,-12.572824478149414
1731869097.3256817,159,-12.678719520568848
1731869097.739262,160,-12.752114295959473
1731869098.1636672,161,-12.702567100524902
1731869098.647482,162,-12.81777286529541
1731869099.1455112,163,-12.951409339904785
1731869099.571127,164,-13.083654403686523
1731869099.990563,165,-12.778430938720703
1731869100.4153805,166,-13.044515609741211
1731869100.9175782,167,-13.14669418334961
1731869101.334794,168,-13.106639862060547
1731869101.7555623,169,-13.26490592956543
1731869102.1756165,170,-13.233717918395996
1731869102.6652305,171,-13.293272972106934
1731869103.0792677,172,-13.311165809631348
1731869103.4936595,173,-13.394613265991211
1731869103.9799967,174,-13.49587345123291
1731869104.4908068,175,-13.438626289367676
1731869104.9169195,176,-13.490788459777832
1731869105.3384206,177,-13.531698226928711
1731869105.74751,178,-13.555570602416992
1731869106.2406156,179,-13.459125518798828
1731869106.652393,180,-13.632433891296387
1731869107.0747213,181,-13.653620719909668
1731869107.4799786,182,-13.741476058959961
1731869109.7037623,183,-13.836594581604004
1731869110.1274037,184,-13.846179008483887
1731869110.551629,185,-13.765915870666504
1731869111.0006711,186,-14.001996994018555
1731869111.7398424,187,-13.975648880004883
1731869114.6205056,188,-14.1730375289917
1731869115.0541863,189,-14.009021759033203
1731869115.468819,190,-14.170656204223633
1731869115.884346,191,-14.063939094543457
1731869117.3088624,192,-14.207329750061035
1731869117.707023,193,-14.192818641662598
1731869118.209878,194,-14.317561149597168
1731869118.6230445,195,-14.252340316772461
1731869119.057471,196,-14.19425106048584
1731869120.7463644,197,-14.373344421386719
1731869121.1700077,198,-14.416433334350586
1731869121.585163,199,-14.411787986755371
1731869122.002305,200,-14.305428504943848
1731869122.4057548,201,-14.389371871948242
1731869122.820295,202,-14.449117660522461
1731869123.2745385,203,-14.315834999084473
1731869123.89069,204,-14.619792938232422
1731869124.3224375,205,-14.568436622619629
1731869124.81054,206,-14.536566734313965
1731869125.2377622,207,-14.626673698425293
1731869125.6488187,208,-14.577614784240723
1731869128.2854996,209,-14.590543746948242
1731869128.828835,210,-14.610809326171875
1731869129.2612355,211,-14.629667282104492
1731869129.7273774,212,-14.7340726852417
1731869132.0489964,213,-14.612337112426758
1731869132.4842637,214,-14.653512001037598
1731869132.9036129,215,-14.744159698486328
1731869133.3262122,216,-14.844344139099121
1731869133.7367115,217,-14.955282211303711
1731869134.149972,218,-14.915233612060547
1731869134.5637403,219,-14.885276794433594
1731869134.9987051,220,-14.915262222290039
1731869136.2702303,221,-14.881540298461914
1731869136.6841385,222,-14.869011878967285
1731869137.1034846,223,-14.944150924682617
1731869137.6439302,224,-14.89102840423584
1731869138.0595436,225,-15.003146171569824
1731869143.3613074,226,-14.939009666442871
1731869143.8421936,227,-15.013378143310547
1731869144.425235,228,-15.049384117126465
1731869144.8856645,229,-15.044769287109375
1731869145.4049416,230,-14.905866622924805
1731869145.9237318,231,-15.093172073364258
1731869146.3852098,232,-15.020546913146973
1731869146.9347174,233,-15.144030570983887
1731869147.3934224,234,-15.13192081451416
1731869147.8901172,235,-15.13427448272705
1731869148.3468692,236,-15.091740608215332
1731869148.8002613,237,-15.206592559814453
1731869149.3281913,238,-15.170320510864258
